site_id,lat,lon,AI,regime,sensitivity,n_obs,n_years
US-xBL,39.0603,-78.0716,1.023748517036438,Humid regions,0.3748396076622667,121,4
US-xBR,44.0639,-71.2873,2.050525426864624,Humid regions,-0.0057195015591669,173,4
US-xCL,33.4012,-97.57,0.5393295288085938,Drylands,0.395240423186784,180,4
US-xCP,40.8155,-104.7456,0.2946617603302002,Drylands,-0.1611776123632354,134,4
US-xDC,47.1617,-99.1066,0.5655019879341125,Drylands,-0.1940198862951284,102,4
US-xDJ,63.8811,-145.7514,0.6896182894706726,Humid regions,-0.1649966324693695,79,4
US-xGR,35.689,-83.5019,1.729259967803955,Humid regions,-0.16136015140433,161,4
US-xJE,31.1948,-84.4686,1.0245376825332642,Humid regions,0.0956750145337286,156,4
US-xJR,32.5907,-106.8425,0.1328617930412292,Drylands,-0.0704325088697657,159,4
US-xKZ,39.1008,-96.5631,0.7549657225608826,Humid regions,0.2570299645447426,175,4
US-xMB,38.2483,-109.3883,0.2498058825731277,Drylands,-0.03959666758934,121,4
US-xNG,46.7697,-100.9154,0.487081915140152,Drylands,0.1789960617075655,100,4
US-xRM,40.2759,-105.5459,0.7957062125205994,Humid regions,0.3425674682756028,112,4
US-xSJ,37.1088,-119.7323,0.3241850435733795,Drylands,-0.3459593106155817,134,3
US-xSL,40.4619,-103.0293,0.3221395015716553,Drylands,0.0321635144216801,171,4
US-xSR,31.9107,-110.8355,0.1765782386064529,Drylands,-0.3218028681447118,167,4
US-xWD,47.1282,-99.2414,0.5579915046691895,Drylands,-0.129410550905198,91,4
US-xWR,45.8205,-121.9519,2.3878214359283447,Humid regions,0.1694268525944742,173,4
US-xYE,44.9535,-110.5391,0.7177451848983765,Humid regions,0.3135309728468005,68,3
ZA-BfK,-28.8564833333,24.83985,0.2511082887649536,Drylands,-0.3940972911585327,51,3
ZA-BfS,-28.8906,24.86112,0.2511082887649536,Drylands,-0.6444811559797696,57,3
