panel,pathway,bin_index,log10_ai_center,ai_center,n_pixels,q25,median,q75
f,Ta,9,-0.7239671426082308,0.1888134194148965,88042,-0.0068151948507875,0.027883717790246,0.1030386537313461
f,Ta,10,-0.6398711844322196,0.229154724506878,91377,-0.0039655552245676,0.0368563830852508,0.1107920110225677
f,Ta,11,-0.5557752262562083,0.2781152310389237,89362,-0.0002405656668997,0.0403793659061193,0.1052893418818712
f,Ta,12,-0.471679268080197,0.3375364915660397,81595,-0.002702844212763,0.0315560773015022,0.0856250263750553
f,Ta,13,-0.3875833099041857,0.4096535192017796,76037,-0.0038010189309716,0.0290245711803436,0.0808537080883979
f,Ta,14,-0.3034873517281745,0.4971788532131772,74124,-0.0094165008049458,0.0234119510278105,0.0788952987641096
f,Ta,15,-0.2193913935521633,0.6034045858168624,65746,-0.0150516689755022,0.0122721446678042,0.071365276351571
f,Ta,16,-0.135295435376152,0.7323261877123806,53881,-0.0032928974833339,0.0257826410233974,0.0907070860266685
f,Ta,17,-0.0511994772001408,0.8887927898050816,51401,0.0095336362719535,0.058486234396696,0.1300817877054214
f,Ta,18,0.0328964809758703,1.0786895736681643,42508,0.0180297228507697,0.0647325627505779,0.1202683076262474
f,Ta,19,0.1169924391518816,1.309159131000135,35741,0.0294964760541915,0.0740439966320991,0.1240680292248725
f,Ta,20,0.2010883973278928,1.588870118075575,32798,0.0375180039554834,0.0798154845833778,0.1164073087275028
f,Ta,21,0.2851843555039041,1.9283433100946936,21391,0.0472278781235218,0.0919640436768531,0.1312864199280738
f,Ta,22,0.3692803136799153,2.3403473193207143,12414,0.0434872191399335,0.0961178056895732,0.1367430873215198
f,Ta,23,0.4533762718559266,2.8403788611596807,6685,0.0466252602636814,0.1009169071912765,0.1415368020534515
f,Ta,24,0.5374722300319379,3.447245632440756,3585,0.03068133816123,0.0855680108070373,0.1374547630548477
f,Ta,25,0.6215681882079491,4.183773725709965,2194,0.0207821130752563,0.0747920051217079,0.1206763982772827
f,Ta,26,0.7056641463839604,5.077666187525982,1547,0.0130510730668902,0.0611931793391704,0.1123893111944198
f,Ta,27,0.7897601045599716,6.16254501372907,1166,0.0089328626636415,0.0513624493032693,0.1073459554463625
f,Ta,28,0.8738560627359828,7.479215774273011,745,0.0026224569883197,0.0261959470808506,0.0820847153663635
f,Ta,29,0.9579520209119942,9.077202433980233,491,0.0025038792518898,0.0187011957168579,0.0581965614110231
